"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"ABHD3";8.895466607;8.726511035;8.632525911;8.775339917;9.739600927;9.458833803;8.848593338;8.868092355;9.364788511;10.09427012;8.822114986;8.833008809
"ABHD4";6.575483341;6.585785973;6.955016811;6.878422334;7.030379929;6.865979005;6.735655215;7.063656307;7.137324749;6.946345147;6.218159114;7.127346225
"ABHD5";8.361032135;8.270860066;8.367438578;8.238809583;9.991650748;9.205135241;9.053839522;8.805694114;9.392113127;9.831074773;8.249530325;8.888342993
"ABHD6";8.184546186;8.517776759;7.916375813;7.710870049;7.942667667;7.466405911;7.393901469;7.808790803;7.485967448;8.017607864;7.577422917;7.377615184
"ABHD8";5.843040188;6.070345587;6.239155215;5.824360865;5.639003021;5.797670551;6.035105825;5.977354126;5.773218529;5.787614894;6.063846333;6.006559606
"ABI1";9.6866131;9.732930431;10.71879597;10.66709028;10.91730341;10.90307091;10.5241841;10.82897941;10.67760802;11.13911032;10.72592372;10.65728085
"ABI2";10.3950474;10.27343364;9.522199569;9.614068307;9.434749913;9.718879037;9.243157313;9.509553601;9.294160956;9.530719053;9.482071957;9.441120077
"ABI2 /// RP11-363J17.1";10.33697333;10.23124511;9.481044955;9.327851243;8.895097676;9.418810232;9.280881999;9.482884378;9.400046521;8.972412602;9.539095368;9.35034873
"ABI3";6.281647464;6.307380105;8.904545034;8.175407769;7.834117084;7.500305326;7.833475591;8.895864855;7.620856406;7.490455694;7.819630333;8.621607732
"ABI3BP";4.196261175;4.441104669;4.226481514;3.997558971;4.162472176;4.512391429;4.059350471;4.21235765;4.050830287;4.050044987;4.539535369;4.065970323
"ABL1";7.986082267;8.401806883;7.58444518;7.563707094;7.113396571;7.114220973;7.292325028;7.661449775;7.205000294;6.719668812;7.208877021;7.214079036
"ABL2";9.061052892;8.887732409;8.27329757;8.554146831;8.552519642;8.354099562;8.43229054;8.430861196;8.089637569;8.470784544;8.461934879;8.400247565
"ABLIM1";10.76820654;10.71553468;10.92074327;10.840817;10.54114115;11.35522916;10.83100626;10.91005063;10.80691546;10.87000709;11.13699909;10.35514174
"ABLIM2";7.122301538;7.432018479;7.210622423;7.342843406;6.83648866;7.481782203;7.389775151;7.309748551;7.287812159;7.106750754;7.522549229;7.22256698
"ABLIM3";7.63592319;7.341667512;6.634093721;6.615266103;7.121373635;6.375260835;6.43389782;6.275508962;6.668017896;6.665277879;6.216922479;6.428833882
"ABO";7.641720983;7.945605049;8.081461511;8.306370224;8.403882136;8.616769812;8.563937262;8.065765329;8.373606675;8.572695026;8.225844112;8.12715871
"abParts /// IGKC /// IGKV4-1 /// IGKV4-1";7.07614731;7.190178569;8.201516937;10.64624496;9.578609366;9.174395307;8.678797278;10.07039609;10.73087014;7.794005136;8.650807185;9.311572233
"ABR";8.018311219;7.962631244;8.440065552;8.275755618;8.499882772;8.134707112;8.260424785;8.214397951;8.190854505;8.380158986;7.991427405;8.4417343
"ABRA";5.906575166;5.776937591;5.972545041;6.174305669;5.949432456;5.78912247;5.906761505;5.759510961;5.984700078;5.620883281;6.205431021;5.900495502
"ABRACL";10.52481489;10.6391692;10.52316237;10.37394818;9.982284808;10.39558739;10.64118032;10.37350557;10.2141457;10.34191117;10.66618335;10.47329671
"ABT1";7.486801909;7.65760394;7.205712902;7.424654055;7.31509519;6.714672965;7.13431474;7.229980872;6.915420772;7.109833198;6.978033349;7.334683625
